Rank of 3261,Local authority,Establishment,NO₂,Type,Phase
1657,Barnet,Peninim,35.3,Other Independent School,Not applicable
1641,Barnet,Barnfield Primary School,35.2,Community School,Primary
1640,Barnet,Hasmonean High School,35.2,Academy Converter,Secondary
1639,Barnet,Finches School,35.2,Other Independent Special School,Not applicable
1608,Barnet,Brookland Junior School,35,Community School,Primary
1607,Barnet,Brookland Infant and Nursery School,35,Community School,Primary
1606,Barnet,Beit Shvidler Primary School,35,Voluntary Aided School,Primary
1556,Barnet,Mathilda Marks-Kennedy Jewish Primary School,34.7,Voluntary Aided School,Primary
1555,Barnet,Kisharon College,34.7,Miscellaneous,Not applicable
1554,Barnet,The Northgate School,34.7,Miscellaneous,Not applicable
1553,Barnet,Northgate School,34.7,Pupil Referral Unit,Not applicable
1552,Barnet,The Archer Academy,34.7,Free Schools,Secondary
1534,Barnet,Beth Jacob Grammar School for Girls,34.6,Other Independent School,Not applicable
1516,Barnet,Menorah Primary School,34.5,Voluntary Aided School,Primary
1499,Barnet,Garden Suburb Junior School,34.4,Community School,Primary
1498,Barnet,Garden Suburb Infant School,34.4,Community School,Primary
1497,Barnet,Independent Jewish Day School,34.4,Academy Converter,Primary
1483,Barnet,Bell Lane Primary School,34.3,Community School,Primary
1450,Barnet,Watling Park school,34.1,Free Schools,Primary
1427,Barnet,Tiferes High School,34,Other Independent School,Not applicable
1412,Barnet,Queen Elizabeth's Girls' School,33.9,Academy Converter,Secondary
1389,Barnet,Hendon Preparatory School,33.8,Other Independent School,Not applicable
1388,Barnet,Oakleigh School & Acorn Assessment Centre,33.8,Community Special School,Not applicable
1387,Barnet,Finchley and Acton Yochien School,33.8,Other Independent School,Not applicable
1368,Barnet,Colindale Primary School,33.7,Community School,Primary
1341,Barnet,Dollis Infant School,33.6,Community School,Primary
1340,Barnet,Dollis Junior School,33.6,Foundation School,Primary
1339,Barnet,Tashbar of Edgware,33.6,Other Independent School,Not applicable
1338,Barnet,Edgware Jewish Girls - Beis Chinuch,33.6,Other Independent School,Not applicable
1291,Barnet,Chalgrove Primary School,33.4,Community School,Primary
1290,Barnet,Holy Trinity CofE Primary School,33.4,Voluntary Aided School,Primary
1267,Barnet,Brunswick Park Primary and Nursery School,33.3,Community School,Primary
1242,Barnet,St Mary's and St John's CofE School,33.2,Voluntary Aided School,All Through
1241,Barnet,Copthall School,33.2,Academy Converter,Secondary
1226,Barnet,St Catherine's RC School,33.1,Voluntary Aided School,Primary
1225,Barnet,Bishop Douglass School Finchley,33.1,Voluntary Aided School,Secondary
1224,Barnet,The Compton School,33.1,Academy Converter,Secondary
1205,Barnet,Hampden Way Nursery School,33,LA Nursery School,Nursery
1204,Barnet,Oak Lodge Special School,33,Community Special School,Not applicable
1185,Barnet,Goldbeaters Primary School,32.9,Community School,Primary
1184,Barnet,Menorah Grammar School,32.9,Other Independent School,Not applicable
1183,Barnet,Menorah Foundation School,32.9,Voluntary Aided School,Primary
1163,Barnet,St John's CofE Primary School,32.8,Voluntary Aided School,Primary
1162,Barnet,All Saints' CofE Primary School N20,32.8,Voluntary Aided School,Primary
1161,Barnet,The Henrietta Barnett School,32.8,Academy Converter,Secondary
1160,Barnet,Sacks Morasha Jewish Primary School,32.8,Voluntary Aided School,Primary
1133,Barnet,Hollickwood Primary School,32.7,Foundation School,Primary
1087,Barnet,Osidge Primary School,32.5,Foundation School,Primary
1086,Barnet,Annemount School,32.5,Other Independent School,Not applicable
1070,Barnet,St Mary's CofE High School,32.4,Voluntary Aided School,Secondary
1053,Barnet,Coppetts Wood Primary School,32.3,Community School,Primary
1027,Barnet,Woodcroft Primary School,32.2,Community School,Primary
982,Barnet,Summerside Primary School,32,Community School,Primary
981,Barnet,St Mary's CofE Primary School,32,Voluntary Aided School,Primary
980,Barnet,Etz Chaim Jewish Primary School,32,Free Schools,Primary
920,Barnet,The Annunciation RC Infant School,31.7,Voluntary Aided School,Primary
919,Barnet,Millbrook Park Primary School,31.7,Academy Sponsor Led,Primary
875,Barnet,Brookhill Nursery School,31.4,LA Nursery School,Nursery
874,Barnet,Edgware Primary School,31.4,Community School,Primary
857,Barnet,Frith Manor Primary School,31.3,Community School,Primary
819,Barnet,"St Mary's CofE Primary School, East Barnet",31.1,Voluntary Aided School,Primary
818,Barnet,"St Andrew's CofE Voluntary Aided Primary School, Totteridge",31.1,Voluntary Aided School,Primary
801,Barnet,Wren Academy,31,Academy Sponsor Led,All Through
781,Barnet,Moss Hall Junior School,30.9,Community School,Primary
780,Barnet,Moss Hall Infant School,30.9,Community School,Primary
779,Barnet,Friern Barnet School,30.9,Community School,Secondary
778,Barnet,St Michael's Catholic Grammar School,30.9,Voluntary Aided School,Secondary
760,Barnet,Goodwyn School,30.8,Other Independent School,Not applicable
736,Barnet,Moss Hall Nursery School,30.7,LA Nursery School,Nursery
719,Barnet,Danegrove Primary School,30.6,Community School,Primary
718,Barnet,Northway School,30.6,Community Special School,Not applicable
695,Barnet,St Margaret's Nursery School,30.5,LA Nursery School,Nursery
694,Barnet,Deansbrook Infant School,30.5,Community School,Primary
693,Barnet,Fairway Primary School and Children's Centre,30.5,Community School,Primary
692,Barnet,Northside Primary School,30.5,Community School,Primary
691,Barnet,St John's CofE Junior Mixed and Infant School,30.5,Voluntary Aided School,Primary
690,Barnet,The Annunciation RC Junior School,30.5,Voluntary Aided School,Primary
689,Barnet,St Andrew the Apostle Greek Orthodox School,30.5,Free Schools,Secondary
688,Barnet,Deansbrook Junior School,30.5,Academy Converter,Primary
667,Barnet,Holly Park Primary School,30.4,Community School,Primary
554,Barnet,Queenswell Infant & Nursery School,29.8,Community School,Primary
553,Barnet,Queenswell Junior School,29.8,Community School,Primary
552,Barnet,Ellern Mede School,29.8,Other Independent School,Not applicable
511,Barnet,The Holmewood School London,29.6,Other Independent Special School,Not applicable
466,Barnet,Mill Hill School Foundation,29.4,Other Independent School,Not applicable
449,Barnet,St Paul's CofE Primary School NW7,29.3,Voluntary Aided School,Primary
436,Barnet,St Vincent's Catholic Primary School,29.2,Voluntary Aided School,Primary
435,Barnet,Sacred Heart Roman Catholic Primary School,29.2,Voluntary Aided School,Primary
434,Barnet,Finchley Catholic High School,29.2,Voluntary Aided School,Secondary
420,Barnet,Church Hill School,29.1,Community School,Primary
366,Barnet,Ashmole Academy,28.8,Academy Converter,Secondary
353,Barnet,Monkfrith Primary School,28.7,Community School,Primary
338,Barnet,East Barnet School,28.6,Academy Converter,Secondary
329,Barnet,Rosh Pinah Primary School,28.5,Voluntary Aided School,Primary
309,Barnet,Pavilion Study Centre,28.3,Pupil Referral Unit,Not applicable
270,Barnet,Woodridge Primary School,28.1,Community School,Primary
269,Barnet,Lyonsdown School,28.1,Other Independent School,Not applicable
240,Barnet,Mill Hill County High School,27.8,Academy Converter,Secondary
228,Barnet,Underhill School,27.7,Community School,Primary
224,Barnet,Trent CofE Primary School,27.6,Voluntary Aided School,Primary
211,Barnet,Broadfields Primary School,27.5,Academy Converter,Primary
189,Barnet,Grasvenor Avenue Infant School,27.3,Academy Converter,Primary
165,Barnet,The Totteridge Academy,26.8,Academy Converter,Secondary
141,Barnet,Cromer Road Primary School,26.5,Community School,Primary
140,Barnet,Whitings Hill Primary School,26.5,Community School,Primary
114,Barnet,Foulds School,26.2,Community School,Primary
101,Barnet,Livingstone Primary and Nursery School,25.9,Community School,Primary
100,Barnet,JCoSS,25.9,Voluntary Aided School,Secondary
91,Barnet,Monken Hadley CofE Primary School,25.8,Voluntary Aided School,Primary
90,Barnet,St Martha's School,25.8,Other Independent School,Not applicable
89,Barnet,"Queen Elizabeth's School, Barnet",25.8,Academy Converter,Secondary
64,Barnet,Christ Church Primary School,25.2,Voluntary Aided School,Primary
1879,Bexley,Upton Primary School,36.5,Community School,Primary
1386,Bexley,Gravel Hill Primary School,33.8,Community School,Primary
1337,Bexley,West Lodge School,33.6,Other Independent School,Not applicable
1289,Bexley,Townley Grammar School,33.4,Academy Converter,Secondary
1266,Bexley,Bexleyheath Academy,33.3,Academy Sponsor Led,Secondary
1265,Bexley,Peareswood Primary School,33.3,Academy Converter,Primary
1240,Bexley,Belvedere Junior School,33.2,Academy Sponsor Led,Primary
1159,Bexley,Park View Academy,32.8,Other Independent Special School,Not applicable
1116,Bexley,Belvedere Infant School,32.6,Community School,Primary
1069,Bexley,Blackfen School for Girls,32.4,Academy Converter,Secondary
918,Bexley,Break Through,31.7,Other Independent School,Not applicable
892,Bexley,The Bexley Pupil Referral Service,31.5,Pupil Referral Unit,Not applicable
856,Bexley,Harris Academy Falconwood,31.3,Academy Sponsor Led,Secondary
817,Bexley,Beths Grammar School,31.1,Academy Converter,Secondary
800,Bexley,Brampton Primary Academy,31,Academy Converter,Primary
777,Bexley,Woodside School,30.9,Community Special School,Not applicable
776,Bexley,Willow Bank Primary School,30.9,Academy Sponsor Led,Primary
759,Bexley,Hook Lane Primary School,30.8,Community School,Primary
758,Bexley,East Wickham Primary Academy,30.8,Academy Converter,Primary
757,Bexley,St Paulinus Church of England Primary School,30.8,Academy Converter,Primary
735,Bexley,Crook Log Primary School,30.7,Community School,Primary
734,Bexley,Lessness Heath Primary School,30.7,Academy Sponsor Led,Primary
717,Bexley,Birkbeck Primary School,30.6,Community School,Primary
716,Bexley,Orchard School,30.6,Community School,Primary
687,Bexley,St Stephen's Catholic Primary School,30.5,Voluntary Aided School,Primary
620,Bexley,Jubilee Primary School,30.2,Community School,Primary
619,Bexley,St John Fisher Catholic Primary School,30.2,Voluntary Aided School,Primary
618,Bexley,Benedict House Preparatory School,30.2,Other Independent School,Not applicable
601,Bexley,St Fidelis Catholic Primary School,30.1,Voluntary Aided School,Primary
600,Bexley,Bishop Ridley Church of England VA Primary School,30.1,Voluntary Aided School,Primary
587,Bexley,Castilion Primary School,30,Community School,Primary
586,Bexley,Sherwood Park Primary School,30,Academy Converter,Primary
585,Bexley,Old Bexley Church of England School,30,Academy Converter,Primary
570,Bexley,Belmont Primary School,29.9,Community School,Primary
551,Bexley,Eastcote Primary School,29.8,Community School,Primary
550,Bexley,Longlands Primary School,29.8,Community School,Primary
549,Bexley,Burnt Oak Junior School,29.8,Academy Sponsor Led,Primary
524,Bexley,St Catherine's Catholic School,29.7,Academy Converter,Secondary
523,Bexley,St Augustine of Canterbury CofE Primary School,29.7,Academy Sponsor Led,Primary
510,Bexley,Hurstmere School,29.6,Academy Converter,Secondary
492,Bexley,Dulverton Primary School,29.5,Community School,Primary
491,Bexley,The Business Academy Bexley,29.5,Academy Sponsor Led,All Through
490,Bexley,Chislehurst and Sidcup Grammar School,29.5,Academy Converter,Secondary
489,Bexley,Pelham Primary School,29.5,Academy Converter,Primary
465,Bexley,St Columba's Catholic Boys' School,29.4,Academy Converter,Secondary
433,Bexley,Parkway Primary School,29.2,Community School,Primary
432,Bexley,Our Lady of the Rosary Catholic Primary School,29.2,Voluntary Aided School,Primary
419,Bexley,Westbrooke School,29.1,Community Special School,Not applicable
418,Bexley,Hope Community School,29.1,Free Schools,Primary
417,Bexley,Barnehurst Junior School,29.1,Academy Converter,Primary
416,Bexley,Days Lane Primary School,29.1,Academy Converter,Primary
415,Bexley,Hillsgrove Primary School,29.1,Academy Converter,Primary
403,Bexley,Danson Primary School,29,Community School,Primary
402,Bexley,Bedonwell Junior School,29,Community School,Primary
401,Bexley,Bedonwell Infant and Nursery School,29,Community School,Primary
400,Bexley,Barrington Primary School,29,Community School,Primary
399,Bexley,Foster's Primary School,29,Voluntary Controlled School,Primary
382,Bexley,Northwood Primary School,28.9,Community School,Primary
381,Bexley,St Peter Chanel Catholic Primary School,28.9,Voluntary Aided School,Primary
380,Bexley,Bexley Grammar School,28.9,Academy Converter,Secondary
379,Bexley,Welling School,28.9,Academy Converter,Secondary
365,Bexley,Upland Primary School,28.8,Community School,Primary
352,Bexley,St Michael's East Wickham Church of England Voluntary Aided Primary School,28.7,Voluntary Aided School,Primary
351,Bexley,"Trinity Church of England School, Belvedere",28.7,Academy Converter,Secondary
350,Bexley,Holy Trinity Lamorbey Church of England School,28.7,Academy Converter,Primary
337,Bexley,Marlborough School,28.6,Community Special School,Not applicable
336,Bexley,Northumberland Heath Primary School,28.6,Academy Converter,Primary
328,Bexley,St Thomas More Catholic Primary School,28.5,Voluntary Aided School,Primary
321,Bexley,Barnehurst Infant School,28.4,Academy Converter,Primary
308,Bexley,Slade Green Primary School,28.3,Community School,Primary
307,Bexley,Chatsworth Infant School,28.3,Community School,Primary
306,Bexley,Merton Court School,28.3,Other Independent School,Not applicable
305,Bexley,Bexley College,28.3,Further Education,16 Plus
257,Bexley,Christ Church (Erith) CofE Primary School,28,Academy Sponsor Led,Primary
256,Bexley,Hurst Primary School,28,Academy Converter,Primary
239,Bexley,Erith Secondary School,27.8,Academy Converter,Secondary
223,Bexley,Rose Bruford College,27.6,Higher Education Institutions,Not applicable
222,Bexley,Bursted Wood Primary School,27.6,Academy Converter,Primary
202,Bexley,St Joseph's Catholic Primary School,27.4,Voluntary Aided School,Primary
201,Bexley,Cleeve Park School,27.4,Academy Converter,Secondary
188,Bexley,Shenstone School,27.3,Community Special School,Not applicable
182,Bexley,Oakwood School,27.2,Community Special School,Not applicable
176,Bexley,Haberdashers' Aske's Crayford Academy,27,Academy Sponsor Led,All Through
175,Bexley,Normandy Primary School,27,Academy Sponsor Led,Primary
159,Bexley,Royal Park Primary School,26.7,Community School,Primary
158,Bexley,Mayplace Primary School,26.7,Academy Sponsor Led,Primary
2890,Brent,Furness Primary School,44.5,Foundation School,Primary
2830,Brent,John Keble CofE Primary School,43.7,Voluntary Aided School,Primary
2729,Brent,Carlton Vale Infant School,42.3,Community School,Primary
2722,Brent,Curzon Crescent Nursery School,42.2,LA Nursery School,Nursery
2705,Brent,Gower House School,42,Other Independent School,Not applicable
2694,Brent,Kilburn Grange School,41.9,Free Schools,Primary
2686,Brent,Harlesden Primary School,41.8,Community School,Primary
2685,Brent,The Kilburn Park School Foundation,41.8,Foundation School,Primary
2684,Brent,Ark Franklin Primary Academy,41.8,Academy Sponsor Led,Primary
2650,Brent,The College of North West London,41.5,Further Education,16 Plus
2649,Brent,Convent of Jesus and Mary Language College,41.5,Academy Converter,Secondary
2569,Brent,The School of the Islamic Republic of Iran,40.8,Other Independent School,Not applicable
2533,Brent,St Mary Magdalen Catholic Junior School,40.5,Voluntary Aided School,Primary
2517,Brent,The Swaminarayan School,40.4,Other Independent School,Not applicable
2504,Brent,Convent of Jesus and Mary RC Infant School,40.3,Voluntary Aided School,Primary
2489,Brent,Granville Plus Nursery School,40.2,LA Nursery School,Nursery
2448,Brent,The Stonebridge School,39.9,Community School,Primary
2447,Brent,Our Lady of Grace RC Infant and Nursery School,39.9,Voluntary Aided School,Primary
2446,Brent,"Ysgol Gymraeg Llundain, The Welsh School London",39.9,Other Independent School,Not applicable
2420,Brent,Sakutu Organisation Montessori,39.7,Other Independent School,Not applicable
2387,Brent,St Joseph's Roman Catholic Primary School,39.5,Voluntary Aided School,Primary
2338,Brent,Wembley Primary School,39.2,Community School,Primary
2292,Brent,Our Lady of Lourdes RC Primary School,38.9,Voluntary Aided School,Primary
2279,Brent,Princess Frederica CofE Primary School,38.8,Voluntary Aided School,Primary
2278,Brent,Newman Catholic College,38.8,Voluntary Aided School,Secondary
2246,Brent,Wykeham Primary School,38.6,Community School,Primary
2245,Brent,Al-Sadiq and Al-Zahra Schools,38.6,Other Independent School,Not applicable
2190,Brent,Anson Primary School,38.3,Community School,Primary
2157,Brent,Salusbury Primary School,38.1,Community School,Primary
2137,Brent,Braintcroft Primary School,38,Community School,Primary
2136,Brent,St Mary's RC Primary School,38,Voluntary Aided School,Primary
2135,Brent,North West London Jewish Day School,38,Academy Converter,Primary
2121,Brent,The Noam Primary School,37.9,Other Independent School,Not applicable
2101,Brent,Christ Church CofE Primary School,37.8,Voluntary Aided School,Primary
2100,Brent,Lycee International De Londres,37.8,Other Independent School,Not applicable
2084,Brent,Brentfield Primary School,37.7,Community School,Primary
2068,Brent,Leopold Primary School,37.6,Community School,Primary
2067,Brent,Islamia Primary School,37.6,Voluntary Aided School,Primary
2066,Brent,Islamia School for Girls',37.6,Other Independent School,Not applicable
2065,Brent,Phoenix Arch School,37.6,Community Special School,Not applicable
2051,Brent,Park Lane Primary School,37.5,Community School,Primary
2029,Brent,Northview Junior and Infant School,37.4,Community School,Primary
2007,Brent,Manor School,37.3,Community Special School,Not applicable
2006,Brent,Michaela Community School,37.3,Free Schools,Secondary
1946,Brent,St Andrew and St Francis CofE Primary School,36.9,Academy Sponsor Led,Primary
1913,Brent,Bnos Beis Yaakov Primary School,36.7,Other Independent School,Not applicable
1898,Brent,Brondesbury College London,36.6,Other Independent School,Not applicable
1897,Brent,The Crest Sixth Form,36.6,Sixth Form Centres,Not applicable
1896,Brent,The Crest Academies,36.6,Academy Sponsor Led,Secondary
1861,Brent,Capital City Academy,36.4,Academy Sponsor Led,Secondary
1860,Brent,Maple Walk School,36.4,Other Independent School,Not applicable
1840,Brent,St Mary's CofE Primary School,36.3,Voluntary Aided School,Primary
1810,Brent,Ark Elvin Academy,36.1,Academy Sponsor Led,Secondary
1786,Brent,Fawood Children's Centre,35.9,LA Nursery School,Nursery
1761,Brent,Newfield Primary School,35.8,Community School,Primary
1760,Brent,Buxlow Preparatory School,35.8,Other Independent School,Not applicable
1744,Brent,College Green School and Services,35.7,LA Nursery School,Nursery
1743,Brent,St Joseph RC Junior School,35.7,Voluntary Aided School,Primary
1742,Brent,St Christopher's School,35.7,Other Independent School,Not applicable
1741,Brent,Gladstone Park Primary School,35.7,Academy Sponsor Led,Primary
1723,Brent,Oliver Goldsmith Primary School,35.6,Community School,Primary
1722,Brent,Ark Academy,35.6,Academy Sponsor Led,All Through
1625,Brent,Our Lady of Grace Catholic Junior School,35.1,Voluntary Aided School,Primary
1605,Brent,Mitchell Brook Primary School,35,Community School,Primary
1588,Brent,Malorees Infant School,34.9,Community School,Primary
1572,Brent,St Nicholas School,34.8,Other Independent School,Not applicable
1551,Brent,Malorees Junior School,34.7,Foundation School,Primary
1515,Brent,St Joseph's RC Infant School,34.5,Voluntary Aided School,Primary
1496,Brent,Donnington Primary School,34.4,Community School,Primary
1482,Brent,Mora Primary School,34.3,Community School,Primary
1426,Brent,Sudbury Primary School,34,Academy Converter,Primary
1425,Brent,Queens Park Community School,34,Academy Converter,Secondary
1336,Brent,Oakington Manor Primary School,33.6,Foundation School,Primary
1335,Brent,Avigdor Hirsch Torah Temimah Primary School,33.6,Voluntary Aided School,Primary
1334,Brent,Menorah High School,33.6,Other Independent School,Not applicable
1288,Brent,Ashley College,33.4,Pupil Referral Unit,Not applicable
1264,Brent,Fryent Primary School,33.3,Community School,Primary
1223,Brent,Brent River College,33.1,Pupil Referral Unit,Not applicable
1203,Brent,The Village School,33,Community Special School,Not applicable
1202,Brent,Wembley High Technology College,33,Academy Converter,All Through
1182,Brent,Alperton Community School,32.9,Academy Converter,Secondary
1132,Brent,Lyon Park Junior School,32.7,Community School,Primary
1131,Brent,Lyon Park Infant School,32.7,Community School,Primary
1130,Brent,Preston Manor School,32.7,Academy Converter,All Through
1115,Brent,St Margaret Clitherow RC Primary School,32.6,Voluntary Aided School,Primary
1114,Brent,Woodfield School,32.6,Academy Special Converter,Not applicable
1068,Brent,Chalkhill Primary School,32.4,Community School,Primary
1052,Brent,Elsley Primary School,32.3,Community School,Primary
