URN,LA (code),LA (name),EstablishmentNumber,EstablishmentName,TypeOfEstablishment (name),EstablishmentStatus (name),OpenDate,CloseDate,PhaseOfEducation (name),StatutoryLowAge,StatutoryHighAge,Boarders (name),NurseryProvision (name),OfficialSixthForm (name),Gender (name),ReligiousCharacter (name),ReligiousEthos (name),Diocese (name),AdmissionsPolicy (name),TrustSchoolFlag (name),Trusts (name),SchoolSponsorFlag (name),SchoolSponsors (name),FederationFlag (name),Federations (name),UKPRN,FurtherEducationType (name),Street,Locality,Address3,Town,County (name),Postcode,SchoolWebsite,TelephoneNum,HeadTitle (name),HeadFirstName,HeadLastName
100673,209,Lewisham,2029,Baring Primary School,Community school,Open,,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Not applicable,,Not applicable,,Not under a federation,,10074646,Not applicable,Linchmere Road,,,London,,SE12 0NB,www.baring.lewisham.sch.uk/,2088575637,Mrs,Caroline,Phillips
100674,209,Lewisham,2068,Beecroft Garden Primary,Community school,Open,,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Not applicable,,Not applicable,,Not under a federation,,10074645,Not applicable,Beecroft Road,,,London,,SE4 2BS,www.beecroftgarden.lewisham.sch.uk/,2086922762,Mr,Graham,Voller
100676,209,Lewisham,2127,Cooper's Lane Primary School,Community school,Open,,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Not applicable,,Not applicable,,Not under a federation,,10072920,Not applicable,Pragnell Road,,,London,,SE12 0LF,www.cooperslane.lewisham.sch.uk/,2088577680,Mr,Paul,Hooper
100677,209,Lewisham,2148,Dalmain Primary School,Community school,Open,,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Not applicable,,Not applicable,,Not under a federation,,10074644,Not applicable,Grove Close,Brockley Rise,,London,,SE23 1AS,http://www.dalmain.lewisham.sch.uk/,2086992675,Ms,Erika,Eisele
100678,209,Lewisham,2158,Deptford Park Primary School,Community school,Open,,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Not applicable,,Not applicable,,Not under a federation,,10072919,Not applicable,Evelyn Street,,,London,,SE8 5RJ,http://www.deptfordpark.lewisham.sch.uk,2086924351,Mr,Ken,Johnson
100679,209,Lewisham,2163,Downderry Primary School,Community school,Open,,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Not applicable,,Not applicable,,Not under a federation,,10074643,Not applicable,Downderry Road,Downham,,Bromley,Kent,BR1 5QL,www.downderryprimaryschool.com,2086985768,Dr,David,Gifford
100680,209,Lewisham,2187,Edmund Waller Primary School,Community school,Open,,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Not applicable,,Not applicable,,Not under a federation,,10074642,Not applicable,Waller Road,,,London,,SE14 5LY,www.edmundwaller.lewisham.sch.uk/,2076390436,Ms,Colleen,Boxall
100681,209,Lewisham,2197,Elfrida Primary School,Community school,Open,,,Primary,2,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Not applicable,,Not applicable,,Supported by a federation,The King Alfred Federation,10070041,Not applicable,Elfrida Crescent,Bellingham,,London,,SE6 3EN,www.lewisham.gov.uk/,2086985755,Mrs,Kathryn,Wong
100683,209,Lewisham,2225,Forster Park Primary School,Community school,Open,,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Not applicable,,Not applicable,,Supported by a federation,Forster Park and Rangefield Federation,10074641,Not applicable,Boundfield Road,,,London,,SE6 1PQ,www.oakbridgefederation.co.uk/,2086985686,Mr,Andrew,Bond
100684,209,Lewisham,2259,Gordonbrock Primary School,Community school,Open,,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Not applicable,,Not applicable,,Supported by a federation,The Eliot Bank and Gordonbrock Primary Schools Federation,10074640,Not applicable,Amyruth Road,Brockley,,London,,SE4 1HQ,http://www.gordonbrock.lewisham.sch.uk/,2082916174,Ms,Maria,Gilmore
100685,209,Lewisham,2267,Grinling Gibbons Primary School,Community school,Open,,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Not applicable,,Not applicable,,Supported by a federation,Grinling Gibbons and Lucas Vale Federation,10074639,Not applicable,Clyde Street,Deptford,,London,,SE8 5LW,http://www.ggibbons.lewisham.sch.uk,2086924907,Mr,Dean,Gordon
100686,209,Lewisham,2289,Haseltine Primary School,Community school,Open,,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Not applicable,,Not applicable,,Supported by a federation,Fairlawn and Haseltine Federation,10052987,Not applicable,Haseltine Road,Bell Green,Lower Sydenham,London,,SE26 5AD,www.haseltineprimary.co.uk/,2087786536,Mrs,Sara,Anderman
100687,209,Lewisham,2304,Brindishe Green School,Community school,Open,,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Not applicable,,Not applicable,,Supported by a federation,The Brindishe Federation,10074638,Not applicable,Beacon Road,,,London,,SE13 6EH,www.brindisheschools.org,2088527245,Ms,Rachel,Waite
100688,209,Lewisham,2307,Holbeach Primary School,Community school,Open,,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Not applicable,,Not applicable,,Not under a federation,,10074637,Not applicable,Nelgarde Road,,,London,,SE6 4TP,www.holbeach.lewisham.sch.uk/,2086904713,Mr,T,Bulpitt
100689,209,Lewisham,2342,John Stainer Community Primary School,Community school,Open,,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Not applicable,,Not applicable,,Not under a federation,,10074636,Not applicable,Mantle Road,Brockley,,London,,SE4 2DY,www.johnstainer.lewisham.sch.uk/,2076390482,Ms,Sue,Harte
100690,209,Lewisham,2347,Kelvin Grove Primary School,Community school,Open,,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Not applicable,,Not applicable,,Not under a federation,,10072918,Not applicable,Kelvin Grove,,,London,,SE26 6BB,www.kelvingrove.lewisham.sch.uk/,2086996300,Mr,Ian,Hyde
100691,209,Lewisham,2349,Kender Primary School,Community school,Open,,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Not applicable,,Not applicable,,Not under a federation,,10074635,Not applicable,Kender Street,New Cross,,London,,SE14 5JA,http://www.kender.lewisham.sch.uk/,2076394654,Mr,Keith,Barr
100692,209,Lewisham,2374,Launcelot Primary School,Community school,Open,,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Not applicable,,Not applicable,,Not under a federation,,10074634,Not applicable,Launcelot Road,Downham,,Bromley,Kent,BR1 5EA,www.launcelot.lewisham.sch.uk/,2086972304,Ms,Maxine,Osbaldeston
100693,209,Lewisham,2381,Brindishe Manor School,Community school,Open,,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Not applicable,,Not applicable,,Supported by a federation,The Brindishe Federation,10074633,Not applicable,Leahurst Road,Lewisham,,London,,SE13 5LS,www.brindishemanor.lewisham.sch.uk,2088520852,Mrs,Rachel,Waite
100695,209,Lewisham,2390,Lucas Vale Primary School,Community school,Open,,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Not applicable,,Not applicable,,Supported by a federation,Grinling Gibbons and Lucas Vale Federation,10074632,Not applicable,Thornville Street,,,London,,SE8 4QB,http://www.lucasvale.lewisham.sch.uk,2086924660,Mrs,Ruth De-Graft,Gomado-Cobblah
100696,209,Lewisham,2403,Marvels Lane Primary School,Community school,Open,,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Not applicable,,Not applicable,,Not under a federation,,10074631,Not applicable,Riddons Road,Grove Park,,London,,SE12 9RA,www.marvelslane.lewisham.sch.uk,2088573904,Mr,Edward,Dove
100699,209,Lewisham,2491,Rangefield Primary School,Community school,Open,,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Not applicable,,Not applicable,,Supported by a federation,Forster Park and Rangefield Federation,10074630,Not applicable,Glenbow Road,Downham,,Bromley,Kent,BR1 4RP,http://www.rangefield.co.uk/,2086983112,Mrs,Michelle,Fenniche
100700,209,Lewisham,2493,Rathfern Primary School,Community school,Open,,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Not applicable,,Not applicable,,Not under a federation,,10074629,Not applicable,Rathfern Road,Catford,,London,,SE6 4NL,http://www.rathfern.lewisham.sch.uk,2086903759,Mrs,Naheeda,Maharasingam
100701,209,Lewisham,2529,Rushey Green Primary School,Community school,Open,,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Not applicable,,Not applicable,,Not under a federation,,10072917,Not applicable,Culverley Road,Catford,,London,,SE6 2LA,www.rusheygreen.lewisham.sch.uk/,2086985001,Mr,John,Calvert
100703,209,Lewisham,2536,Sandhurst Primary School,Community school,Open,,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Not applicable,,Not applicable,,Not under a federation,,10074628,Not applicable,Minard Road,Catford,,London,,SE6 1NW,webfronter.com/lewisham/sandhurstprimary,2086985810,Mrs,Rebecca,Dove
100704,209,Lewisham,2570,Stillness Junior School,Community school,Open,,,Primary,7,11,No boarders,No Nursery Classes,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Not applicable,,Not applicable,,Not under a federation,,10075069,Not applicable,Brockley Rise,Forest Hill,,London,,SE23 1NH,www.stillnessjs.lewisham.sch.uk/,2086901416,Mrs,Mitzi,Nichol
100705,209,Lewisham,2571,Stillness Infant School,Community school,Open,,,Primary,3,7,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Not applicable,,Not applicable,,Not under a federation,,10066706,Not applicable,Brockley Rise,,,London,,SE23 1NH,www.stillness-inf.lewisham.sch.uk,2086901208,Mrs,Annie,Grimes
100708,209,Lewisham,2606,Torridon Primary School,Community school,Open,,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Not applicable,,Not applicable,,Not under a federation,,10071958,Not applicable,Hazelbank Road,,,London,,SE6 1TG,www.torridonprimary.lewisham.sch.uk/,2086972762,,Manda,George
100709,209,Lewisham,2782,John Ball Primary School,Community school,Open,,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Not applicable,,Not applicable,,Not under a federation,,10074627,Not applicable,Southvale Road,Blackheath,,London,,SE3 0TP,www.johnball.lewisham.sch.uk,2088521601,Mr,Michael,Roach
100710,209,Lewisham,2811,Fairlawn Primary School,Community school,Open,,,Primary,4,11,No boarders,No Nursery Classes,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Not applicable,,Not applicable,,Supported by a federation,Fairlawn and Haseltine Federation,10079729,Not applicable,Honor Oak Road,,,London,,SE23 3SB,www.fairlawn.lewisham.sch.uk,2086997948,Ms,Hania,Ryans
100711,209,Lewisham,2815,Eliot Bank Primary School,Community school,Open,,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Not applicable,,Not applicable,,Supported by a federation,The Eliot Bank and Gordonbrock Primary Schools Federation,10074626,Not applicable,Thorpewood Avenue,Sydenham,,London,,SE26 4BU,www.eliotbank.lewisham.sch.uk/,2086990586,Ms,Maria,Gilmore
100712,209,Lewisham,2818,Sir Francis Drake Primary School,Community school,Open,,,Primary,5,11,No boarders,No Nursery Classes,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Not applicable,,Not applicable,,Not under a federation,,10070040,Not applicable,Scawen Road,,,London,,SE8 5AE,www.sfdprimary.co.uk,2086924321,Mrs,Valerie,Rose
100713,209,Lewisham,2869,Myatt Garden Primary School,Community school,Open,,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Not applicable,,Not applicable,,Not under a federation,,10074625,Not applicable,Rokeby Road,Brockley,,London,,SE4 1DF,http://www.myattgarden.lewisham.sch.uk/,2086910611,Ms,Sally,Williams
100714,209,Lewisham,2870,Horniman Primary School,Community school,Open,,,Primary,5,11,No boarders,No Nursery Classes,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Not applicable,,Not applicable,,Not under a federation,,10070039,Not applicable,Horniman Drive,,,London,,SE23 3BP,www.hornimanprimary.com/,2086993190,Ms,Julie,Loffstadt
100715,209,Lewisham,2871,Perrymount Primary School,Community school,Open,,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Not applicable,,Not applicable,,Not under a federation,,10074624,Not applicable,Sunderland Road,Forest Hill,,London,,SE23 2PX,www.perrymount.lewisham.sch.uk/,2086994522,Ms,Christine,Keen
100716,209,Lewisham,2878,Ashmead Primary School,Community school,Open,,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Not applicable,,Not applicable,,Not under a federation,,10074623,Not applicable,Ashmead Road,,Deptford,London,,SE8 4DX,www.ashmeadprimary.wordpress.com/,2086926081,Mr,Sean,O'Flynn
100717,209,Lewisham,2887,Brindishe Lee School,Community school,Open,,,Primary,4,11,No boarders,No Nursery Classes,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Not applicable,,Not applicable,,Supported by a federation,The Brindishe Federation,10079728,Not applicable,Wantage Road,Lee Green,,London,,SE12 8NA,www.brindisheschools.org/,2083184626,Mrs,Rachel,Waite
100718,209,Lewisham,2911,Kilmorie Primary School,Community school,Open,,,Primary,2,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Not applicable,,Not applicable,,Not under a federation,,10069168,Not applicable,Kilmorie Road,,,London,,SE23 2SP,www.kilmorieschool.co.uk,2082911250,Headteacher,Elisabeth,Stone
100719,209,Lewisham,3301,All Saints' Church of England Primary School,Voluntary aided school,Open,,,Primary,4,11,No boarders,No Nursery Classes,Does not have a sixth form,Mixed,Church of England,Does not apply,Diocese of Southwark,Not applicable,Not applicable,,Not applicable,,Not under a federation,,10074728,Not applicable,2 Blackheath Vale,Blackheath,,London,,SE3 0TX,www.allsaints.lewisham.sch.uk/,2088526136,Mrs,Debbie,Tompkins
100720,209,Lewisham,3315,St Mary Magdalen's Catholic Primary School,Voluntary aided school,Open,,,Primary,4,11,No boarders,No Nursery Classes,Does not have a sixth form,Mixed,Roman Catholic,Does not apply,Archdiocese of Southwark,Not applicable,Not applicable,,Not applicable,,Not under a federation,,10075978,Not applicable,Howson Road,Brockley,,London,,SE4 2BB,www.stmarymagdalenprimary.blogspot.com/,2086925055,Mrs,Sally,Saunders
100722,209,Lewisham,3344,Good Shepherd RC School,Voluntary aided school,Open,,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Roman Catholic,Does not apply,Archdiocese of Southwark,Not applicable,Not applicable,,Not applicable,,Not under a federation,,10075977,Not applicable,Moorside Road,Downham,,Bromley,Kent,BR1 5EP,http://www.goodshepherd.lewisham.sch.uk/,2086984173,Mr,Paul,Moriarty
100723,209,Lewisham,3360,Holy Trinity Church of England Primary School,Voluntary aided school,Open,,,Primary,4,11,No boarders,No Nursery Classes,Does not have a sixth form,Mixed,Church of England,Does not apply,Diocese of Southwark,Not applicable,Not applicable,,Not applicable,,Not under a federation,,10074727,Not applicable,Dartmouth Road,,,London,,SE23 3HZ,www.holytrinity.lewisham.sch.uk/,2086999023,Miss,Sarah-Jane,Pendleton
100724,209,Lewisham,3374,St Margaret's Lee CofE Primary School,Voluntary aided school,Open,,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Church of England,Does not apply,Diocese of Southwark,Not applicable,Not applicable,,Not applicable,,Not under a federation,,10074026,Not applicable,Lee Church Street,,,London,,SE13 5SG,www.stmargaretslee.lewisham.sch.uk/,2088523151,Mr,Ian,Wilson
100725,209,Lewisham,3416,St Augustine's Catholic Primary School and Nursery,Voluntary aided school,Open,,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Roman Catholic,Does not apply,Archdiocese of Southwark,Not applicable,Not applicable,,Not applicable,,Not under a federation,,10075976,Not applicable,Dunfield Road,,,London,,SE6 3RD,http://www.staugustines.lewisham.sch.uk,2086986083,Miss,Mary,Collins
100726,209,Lewisham,3420,St Bartholomews's Church of England Primary School,Voluntary aided school,Open,,,Primary,5,11,No boarders,No Nursery Classes,Does not have a sixth form,Mixed,Church of England,Does not apply,Diocese of Southwark,Not applicable,Not applicable,,Not applicable,,Not under a federation,,10069853,Not applicable,The Peak,Sydenham,,London,,SE26 4LJ,www.st-bartholomews.lewisham.sch.uk/,2086998537,Mrs,Sara,Sanbrook Davies
100727,209,Lewisham,3454,St James's Hatcham Church of England Primary School,Voluntary aided school,Open,,,Primary,4,11,No boarders,No Nursery Classes,Does not have a sixth form,Mixed,Church of England,Does not apply,Diocese of Southwark,Not applicable,Not applicable,,Not applicable,,Not under a federation,,10074726,Not applicable,St James's,New Cross,,London,,SE14 6AD,www.st-jameshatcham.lewisham.sch.uk,2086924937,Ms,S E,McFarlane
100728,209,Lewisham,3472,St John Baptist Southend Church of England Primary School,Voluntary aided school,Open,,,Primary,4,11,No boarders,No Nursery Classes,Does not have a sixth form,Mixed,Church of England,Does not apply,Diocese of Southwark,Not applicable,Not applicable,,Not applicable,,Not under a federation,,10074725,Not applicable,Beachborough Road,,,Bromley,Kent,BR1 5RL,www.sjb.lewisham.sch.uk,2086983059,Mr,John,Goodey
100729,209,Lewisham,3478,St Joseph's Catholic Primary School,Voluntary aided school,Open,,,Primary,4,11,No boarders,No Nursery Classes,Does not have a sixth form,Mixed,Roman Catholic,Does not apply,Archdiocese of Southwark,Not applicable,Not applicable,,Not applicable,,Not under a federation,,10075975,Not applicable,Crossfield Street,Deptford,,London,,SE8 3PH,www.stjps.lewisham.sch.uk/,2086924836,Miss,Nicola,Doherty
100730,209,Lewisham,3518,St Mary's Lewisham Church of England Primary School,Voluntary aided school,Open,,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Church of England,Does not apply,Diocese of Southwark,Not applicable,Not applicable,,Not applicable,,Not under a federation,,10074025,Not applicable,329 Lewisham High Street,,,London,,SE13 6NX,www.st-marys.lewisham.sch.uk/,2086902613,Ms,Christine,Bernard
100731,209,Lewisham,3548,St Michael's Church of England Primary School,Voluntary aided school,Open,,,Primary,4,11,No boarders,No Nursery Classes,Does not have a sixth form,Mixed,Church of England,Does not apply,Diocese of Southwark,Not applicable,Not applicable,,Not applicable,,Not under a federation,,10074724,Not applicable,Champion Road,Sydenham,,London,,SE26 4HH,www.stmichaels1871.org.uk,2087788407,Mrs,Riana,Gouws
100732,209,Lewisham,3588,Our Lady and St Philip Neri Roman Catholic Primary School,Voluntary aided school,Open,,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Roman Catholic,Does not apply,Archdiocese of Southwark,Not applicable,Not applicable,,Not applicable,,Not under a federation,,10075974,Not applicable,208 Sydenham Road,,,London,,SE26 5SE,www.olspn.school-uk.org,2087784386,Mr,Matthew,Ringham
100733,209,Lewisham,3594,St Saviour's Catholic Primary School,Voluntary aided school,Open,,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Roman Catholic,Does not apply,Archdiocese of Southwark,Not applicable,Not applicable,,Not applicable,,Not under a federation,,10075973,Not applicable,10 Bonfield Road,Lewisham,,London,,SE13 6AL,www.stsaviours.lewisham.sch.uk,2088524283,Mr,Dean,Houson
100734,209,Lewisham,3597,St Stephen's Church of England Primary School,Voluntary aided school,Open,,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Church of England,Does not apply,Diocese of Southwark,Not applicable,Not applicable,,Not applicable,,Not under a federation,,10074024,Not applicable,Albyn Road,Deptford,,London,,SE8 4ED,www.ststephensce.co.uk/,2086921898,Miss,Frances,Holland
100737,209,Lewisham,3650,St William of York Catholic Primary School,Voluntary aided school,Open,,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Roman Catholic,Does not apply,Archdiocese of Southwark,Not applicable,Not applicable,,Not applicable,,Not under a federation,,10075972,Not applicable,Brockley Park,Forest Hill,,London,,SE23 1PS,www.swoy.lewisham.sch.uk/,2086902842,Mrs,Sharon,Lynch
100739,209,Lewisham,3661,Holy Cross Catholic Primary School,Voluntary aided school,Open,,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Roman Catholic,Does not apply,Archdiocese of Southwark,Not applicable,Not applicable,,Not applicable,,Not under a federation,,10071710,Not applicable,Culverley Road,Catford,,London,,SE6 2LD,www.holycross.lewisham.sch.uk/,2086982675,Miss,Mary,Collins
100740,209,Lewisham,4047,Deptford Green School,Community school,Open,,,Secondary,11,16,No boarders,No Nursery Classes,Not applicable,Mixed,Does not apply,Does not apply,Not applicable,Non-selective,Not applicable,,Not applicable,,Not under a federation,,10001917,Not applicable,Edward Street,New Cross,,London,,SE14 6AN,http://www.deptfordgreen.lewisham.sch.uk/,2086913236,Mr,Mark,Phillips
100741,209,Lewisham,4204,Sydenham School,Community school,Open,,,Secondary,11,18,No boarders,No Nursery Classes,Has a sixth form,Girls,Does not apply,Does not apply,Not applicable,Non-selective,Not applicable,,Not applicable,,Not under a federation,,10006468,Not applicable,Dartmouth Road,,,London,,SE26 4RD,http://www.sydenham.lewisham.sch.uk/,2086996731,,Gloria,Lowe
100742,209,Lewisham,4249,Conisborough College,Community school,Open,,,Secondary,11,16,No boarders,No Nursery Classes,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Non-selective,Not applicable,,Not applicable,,Not under a federation,,10015211,Not applicable,Conisborough Crescent,Catford,,London,,SE6 2SE,http://www.conisboroughcollege.co.uk/,2084619600,Mrs,Jane,Hadlow
